uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q131461885,Jean-Guillaume Kleis,1988,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1981-2000
http://www.wikidata.org/entity/Q131461885,Jean-Guillaume Kleis,1988,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q131539109,John Morris,1948,education,http://www.wikidata.org/entity/Q5568366,Glendale High School,1,high school,1941-1960
http://www.wikidata.org/entity/Q131539109,John Morris,1948,education,http://www.wikidata.org/entity/Q5309401,Drury University,2,private not-for-profit educational institution | university,1941-1960
http://www.wikidata.org/entity/Q131540062,Alain Guélennoc,1961,membership,http://www.wikidata.org/entity/Q112611146,HEC Alumni,1,organization,1961-1980
http://www.wikidata.org/entity/Q131540062,Alain Guélennoc,1961,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q131540062,Alain Guélennoc,1961,education,http://www.wikidata.org/entity/Q1144549,Pierre and Marie Curie University,2,defunct organization | university in France,1961-1980
http://www.wikidata.org/entity/Q131540062,Alain Guélennoc,1961,education,http://www.wikidata.org/entity/Q273535,HEC Paris,1,business school,1961-1980
http://www.wikidata.org/entity/Q131540062,Alain Guélennoc,1961,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q131551153,Roland Palmer,1973,education,http://www.wikidata.org/entity/Q34433,University of Oxford,6,educational organization | public university | exempt charity | collegiate university | organization | higher education institution,1961-1980
http://www.wikidata.org/entity/Q131572440,Traian Sorin Hălălai,1970,education,http://www.wikidata.org/entity/Q1167563,Bucharest University of Economic Studies,3,open-access publisher | research university | public university,1961-1980
http://www.wikidata.org/entity/Q13157342,John O'Shea,1944,education,http://www.wikidata.org/entity/Q5005987,C.B.C. Monkstown,1,secondary school,1941-1960
http://www.wikidata.org/entity/Q13157342,John O'Shea,1944,education,http://www.wikidata.org/entity/Q1068258,University College Dublin,3,organization | research university | public university,1941-1960
http://www.wikidata.org/entity/Q131577841,Yulia Serbrianskaya,1979,education,http://www.wikidata.org/entity/Q1637997,Novosibirsk State University,2,national research university | university,1961-1980
http://www.wikidata.org/entity/Q131599554,Oonagh Aitken,1956,education,http://www.wikidata.org/entity/Q2413375,The Open University,5,open-access publisher | organization | higher education institution | educational organization | public university,1941-1960
http://www.wikidata.org/entity/Q131599554,Oonagh Aitken,1956,education,http://www.wikidata.org/entity/Q192775,University of Glasgow,2,public research university | open-access publisher,1941-1960
http://www.wikidata.org/entity/Q131599554,Oonagh Aitken,1956,education,http://www.wikidata.org/entity/Q1470817,University of the Highlands and Islands,1,university,1941-1960
http://www.wikidata.org/entity/Q131599554,Oonagh Aitken,1956,education,http://www.wikidata.org/entity/Q7125188,Paisley Grammar School,1,grammar school,1941-1960
http://www.wikidata.org/entity/Q131695585,Uri Alon (CEO),1970,education,http://www.wikidata.org/entity/Q737332,Ben-Gurion University of the Negev,1,university,1961-1980
http://www.wikidata.org/entity/Q131695585,Uri Alon (CEO),1970,education,http://www.wikidata.org/entity/Q319239,Tel Aviv University,3,open-access publisher | university | Ottoman Association,1961-1980
http://www.wikidata.org/entity/Q131727392,Bardia Rahmany,1998,education,http://www.wikidata.org/entity/Q6587187,National Organization for Development of Exceptional Talents,4,selective school | gifted education | educational institution | school,1981-2000
http://www.wikidata.org/entity/Q131727392,Bardia Rahmany,1998,education,http://www.wikidata.org/entity/Q221645,Stockholm University,3,organization | Swedish government agency | university,1981-2000
http://www.wikidata.org/entity/Q131727392,Bardia Rahmany,1998,education,http://www.wikidata.org/entity/Q2496060,Jönköping University,1,higher education institution,1981-2000
http://www.wikidata.org/entity/Q131727392,Bardia Rahmany,1998,education,http://www.wikidata.org/entity/Q218506,Lund University,3,organization | Swedish government agency | university,1981-2000
http://www.wikidata.org/entity/Q131727392,Bardia Rahmany,1998,education,http://www.wikidata.org/entity/Q457281,University of Illinois Urbana–Champaign,3,public research university | public educational institution of the United States | land-grant university,1981-2000
http://www.wikidata.org/entity/Q131730869,Jean-Baptiste O'Neill,1977,education,http://www.wikidata.org/entity/Q3268857,Lycée Montaigne,3,educational facility | lycée | lycée-collège,1961-1980
http://www.wikidata.org/entity/Q131730869,Jean-Baptiste O'Neill,1977,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q131730869,Jean-Baptiste O'Neill,1977,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q131822819,Cecilia Shen,2000,education,http://www.wikidata.org/entity/Q1049470,University of Waterloo,3,public research university | open-access publisher | university in Ontario,1981-2000
http://www.wikidata.org/entity/Q131836829,Warren Arthur Larsen,1946,education,http://www.wikidata.org/entity/Q1134606,Massey University,2,open-access publisher | university,1941-1960
http://www.wikidata.org/entity/Q131870460,Oscar Diaz Santamaria,1956,education,http://www.wikidata.org/entity/Q4760155,Andrés Bello Catholic University,4,Catholic university | Jesuit university | cultural property | private university,1941-1960
http://www.wikidata.org/entity/Q131931324,Doris Birkhofer,1973,education,http://www.wikidata.org/entity/Q16665962,NEOMA Business School,1,business school,1961-1980
http://www.wikidata.org/entity/Q131931324,Doris Birkhofer,1973,education,http://www.wikidata.org/entity/Q870659,ESB Business School,1,business school,1961-1980
http://www.wikidata.org/entity/Q131936363,Shazir Mucklai,1996,education,http://www.wikidata.org/entity/Q1781394,University of Texas at Dallas,2,public educational institution of the United States | university,1981-2000
http://www.wikidata.org/entity/Q131936363,Shazir Mucklai,1996,education,http://www.wikidata.org/entity/Q7571428,Southwestern Law School,2,private not-for-profit educational institution | law school,1981-2000
http://www.wikidata.org/entity/Q131936363,Shazir Mucklai,1996,education,http://www.wikidata.org/entity/Q5696054,Hebron High School,1,high school,1981-2000
http://www.wikidata.org/entity/Q132719806,Pierre Garonnaire,1985,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1981-2000
http://www.wikidata.org/entity/Q132719806,Pierre Garonnaire,1985,education,http://www.wikidata.org/entity/Q4041,Lumière University Lyon 2,1,university in France,1981-2000
http://www.wikidata.org/entity/Q132719806,Pierre Garonnaire,1985,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q132719806,Pierre Garonnaire,1985,education,http://www.wikidata.org/entity/Q4027,Jean Moulin University - Lyon 3,1,university in France,1981-2000
http://www.wikidata.org/entity/Q132798456,Q132798456,1969,education,http://www.wikidata.org/entity/Q12300151,Q12300151,1,gymnasium,1961-1980
http://www.wikidata.org/entity/Q132798456,Q132798456,1969,education,http://www.wikidata.org/entity/Q924265,Aarhus University,3,open-access publisher | organization | public university,1961-1980
http://www.wikidata.org/entity/Q132798838,Michel Byttebier,1897,education,http://www.wikidata.org/entity/Q1137665,Ghent University,4,open-access publisher | organization | educational institution | public university,1851-1900
http://www.wikidata.org/entity/Q132798838,Michel Byttebier,1897,membership,http://www.wikidata.org/entity/Q132802634,Gentsch Studenten Verbond,1,student society,1851-1900
http://www.wikidata.org/entity/Q132853055,Lucas Le Bell,1989,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1981-2000
http://www.wikidata.org/entity/Q132853055,Lucas Le Bell,1989,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q132855565,Nadine Adra,1973,education,http://www.wikidata.org/entity/Q975461,Lebanese University,1,public university,1961-1980
http://www.wikidata.org/entity/Q132855565,Nadine Adra,1973,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q132855565,Nadine Adra,1973,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q132855565,Nadine Adra,1973,education,http://www.wikidata.org/entity/Q1633859,Institut National des Sciences Appliquées de Lyon,1,grande école,1961-1980
http://www.wikidata.org/entity/Q132855565,Nadine Adra,1973,education,http://www.wikidata.org/entity/Q3578179,École d'architecture de Lyon,1,École nationale supérieure,1961-1980
http://www.wikidata.org/entity/Q133153615,Yacoub Sidya,1978,education,http://www.wikidata.org/entity/Q2001033,Northern Kentucky University,2,public educational institution of the United States | public university,1961-1980
http://www.wikidata.org/entity/Q133158589,Amélie Guicheney,1985,education,http://www.wikidata.org/entity/Q21427570,Ensemble Scolaire Saint Michel de Picpus,1,lycée,1981-2000
http://www.wikidata.org/entity/Q133158589,Amélie Guicheney,1985,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1981-2000
http://www.wikidata.org/entity/Q133158589,Amélie Guicheney,1985,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q133158589,Amélie Guicheney,1985,education,http://www.wikidata.org/entity/Q926749,Lycée Condorcet,1,educational facility,1981-2000
http://www.wikidata.org/entity/Q133161309,Carl O. Geving,1965,education,http://www.wikidata.org/entity/Q1771806,University of Oslo Faculty of Law,1,faculty,1961-1980
