uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q3503829,Sundar Pichai,1972,education,http://www.wikidata.org/entity/Q7244152,Prince Matriculation Higher Secondary School,1,school,1971-2000,['school']
http://www.wikidata.org/entity/Q3524163,Thierry Cammas,1965,education,http://www.wikidata.org/entity/Q999763,University of Paris 1 Pantheon-Sorbonne,1,university in france,1941-1970,['university in france']
http://www.wikidata.org/entity/Q3524163,Thierry Cammas,1965,education,http://www.wikidata.org/entity/Q273642,ESSEC Business School,1,business school,1941-1970,['business school']
http://www.wikidata.org/entity/Q3528191,Tidjane Thiam,1962,education,http://www.wikidata.org/entity/Q1189954,Mines ParisTech,2,engineering college | grande école,1941-1970,"['engineering college', 'grande école']"
http://www.wikidata.org/entity/Q3528191,Tidjane Thiam,1962,education,http://www.wikidata.org/entity/Q3268995,Lycée classique d'Abidjan,1,school,1941-1970,['school']
http://www.wikidata.org/entity/Q3528191,Tidjane Thiam,1962,education,http://www.wikidata.org/entity/Q1136829,INSEAD,1,business school,1941-1970,['business school']
http://www.wikidata.org/entity/Q3528191,Tidjane Thiam,1962,education,http://www.wikidata.org/entity/Q273626,École polytechnique,1,engineering college,1941-1970,['engineering college']
http://www.wikidata.org/entity/Q3528191,Tidjane Thiam,1962,membership,http://www.wikidata.org/entity/Q282690,Group of Thirty,3,advocacy group | governing body | nonprofit organization,1941-1970,"['advocacy group', 'governing body', 'nonprofit organization']"
http://www.wikidata.org/entity/Q3528191,Tidjane Thiam,1962,education,http://www.wikidata.org/entity/Q3269151,Lycée privé Sainte-Geneviève,1,educational facility,1941-1970,['educational facility']
http://www.wikidata.org/entity/Q353511,Derek Jeter,1974,education,http://www.wikidata.org/entity/Q6350379,Kalamazoo Central High School,1,high school,1971-2000,['high school']
http://www.wikidata.org/entity/Q353511,Derek Jeter,1974,membership,http://www.wikidata.org/entity/Q809892,National Baseball Hall of Fame and Museum,2,sports hall of fame | sports museum,1971-2000,"['sports hall of fame', 'sports museum']"
