p,propLabel,eff
http://www.wikidata.org/prop/direct/P648,identifiant Open Library,9
http://www.wikidata.org/prop/direct/P3388,identifiant LittleSis d'une personne,9
http://www.wikidata.org/prop/direct/P3602,candidate ou candidat à l'élection,9
http://www.wikidata.org/prop/direct/P3899,identifiant Medium,8
http://www.wikidata.org/prop/direct/P4491,identifiant Isidore,8
http://www.wikidata.org/prop/direct/P7502,identifiant Golden,8
http://www.wikidata.org/prop/direct/P10574,identifiant Les Échos,8
http://www.wikidata.org/prop/direct/P10632,identifiant OpenSanctions,8
http://www.wikidata.org/prop/direct/P10780,identifiant Radio France d'une personne,8
http://www.wikidata.org/prop/direct/P25,mère,7
http://www.wikidata.org/prop/direct/P184,directeur ou directrice de thèse,7
http://www.wikidata.org/prop/direct/P1207,identifiant NUKAT,7
http://www.wikidata.org/prop/direct/P4819,identifiant Svenskt Porträttarkiv,7
http://www.wikidata.org/prop/direct/P5301,identifiant France Culture (OBSOLÈTE),7
http://www.wikidata.org/prop/direct/P6683,identifiant Bibliothèque Alexander Turnbull,7
http://www.wikidata.org/prop/direct/P6821,identifiant Alvin,7
http://www.wikidata.org/prop/direct/P7293,identifiant Bibliothèque nationale de Pologne,7
http://www.wikidata.org/prop/direct/P271,identifiant NACSIS-CAT d'un auteur,6
http://www.wikidata.org/prop/direct/P410,grade militaire ou de la police,6
http://www.wikidata.org/prop/direct/P742,pseudonyme,6
http://www.wikidata.org/prop/direct/P2397,identifiant de chaîne YouTube,6
http://www.wikidata.org/prop/direct/P7400,identifiant LibraryThing d'un auteur,6
http://www.wikidata.org/prop/direct/P8189,identifiant J9U de la Bibliothèque nationale d'Israël,6
http://www.wikidata.org/prop/direct/P9371,identifiant FranceArchives agent,6
http://www.wikidata.org/prop/direct/P11496,identifiant CiNii Research,6
http://www.wikidata.org/prop/direct/P54,membre de l'équipe de sport,5
http://www.wikidata.org/prop/direct/P691,identifiant Bibliothèque nationale tchèque,5
http://www.wikidata.org/prop/direct/P1263,identifiant Notable Names Database,5
http://www.wikidata.org/prop/direct/P1266,identifiant AlloCiné nom,5
http://www.wikidata.org/prop/direct/P2562,nom marital,5
http://www.wikidata.org/prop/direct/P3980,identifiant Unifrance d'une personne,5
http://www.wikidata.org/prop/direct/P4985,identifiant The Movie Database d'une personne,5
http://www.wikidata.org/prop/direct/P11841,identifiant Challenges,5
http://www.wikidata.org/prop/direct/P640,cote Léonore,4
http://www.wikidata.org/prop/direct/P2168,identifiant Svensk Filmdatabas d'une personne,4
http://www.wikidata.org/prop/direct/P2218,situation nette,4
http://www.wikidata.org/prop/direct/P2949,identifiant WikiTree,4
http://www.wikidata.org/prop/direct/P3154,identifiant Projet Runeberg d'un auteur,4
http://www.wikidata.org/prop/direct/P3040,identifiant SoundCloud,4
http://www.wikidata.org/prop/direct/P3987,identifiant SHARE Catalogue,4
